[5, -3, 3, -1, -3, 3, -1, 2, 2]
[9, 3, -1, -3, -3, -2, -2, 1, -1]
[0, 5, 2, 3, 5, -1, -4, 0, 2]
[5, -2, 4, -4, 5, 3, 1, -4, 5]
[15, 2, -4, -5, -2, 2, -5, -3, -1]
[7, -1, 3, -1, -2, -3, 3, -2, -1]
[6, -2, -1, -1, 2, 1, -2, 0, -2]
[6, -1, 1, 1, -3, -2, 2, -3, 2]
[7, -3, -1, -3, -2, 3, 3, 2, -1]
[0, 3, 2, 3, -4, 2, 2, 2, 1]
[7, -2, 2, 1, -1, -2, -2, 1, -2]
[0, 1, 4, 4, 5, -1, -2, 2, -2]
[5, -3, -3, 3, -1, -1, 2, 2, 2]
[6, -3, -3, 3, 2, -1, 1, -2, 2]
[8, -2, -3, 3, -1, 3, -3, 1, -2]
[0, 4, -3, -3, 5, 2, 5, 1, 1]
[0, -1, -2, -2, 6, -1, 5, 6, 4]
[0, 5, 1, 7, -3, 7, 8, -3, -2]
[20, 3, -5, -4, -7, -2, -6, -3, 1]
